timeindex,wind-profile,pv-profile
2011-01-01T00:00:00Z,0.147532,0
2011-01-01T01:00:00Z,0.184181,0
2011-01-01T02:00:00Z,0.223937,0
2011-01-01T03:00:00Z,0.255732,0
2011-01-01T04:00:00Z,0.26844,0
2011-01-01T05:00:00Z,0.276708,0
2011-01-01T06:00:00Z,0.26844,0
2011-01-01T07:00:00Z,0.243378,0
2011-01-01T08:00:00Z,0.203473,0.046
2011-01-01T09:00:00Z,0.16961,0.123
2011-01-01T10:00:00Z,0.148345,0.172
2011-01-01T11:00:00Z,0.148345,0.2
2011-01-01T12:00:00Z,0.157479,0.2
2011-01-01T13:00:00Z,0.164341,0.149
2011-01-01T14:00:00Z,0.20248,0.062
2011-01-01T15:00:00Z,0.251199,0.002
2011-01-01T16:00:00Z,0.275518,0
2011-01-01T17:00:00Z,0.280294,0
2011-01-01T18:00:00Z,0.273147,0
2011-01-01T19:00:00Z,0.283905,0
2011-01-01T20:00:00Z,0.273147,0
2011-01-01T21:00:00Z,0.269612,0
2011-01-01T22:00:00Z,0.26844,0
2011-01-01T23:00:00Z,0.263778,0
