,1.05,1.0,0.9,0.8,0.7,0.6
120,12781296.265596353,12245983.982855424,11171480.760814896,10083677.178223502,8977549.650403881,7851698.848155947
110,12569095.308803523,12039780.788463643,10982173.949384252,9912817.519005485,8825137.245898457,7717375.715378496
100,12350703.0635697,11830739.221288795,10788153.197007736,9734138.709049748,8664413.665669639,7576796.096310931
95,12237742.283582231,11722544.565163849,10689275.060283644,9644415.809219794,8582743.48341128,7504202.060452463
90,12126146.100729788,11614243.65664654,10588094.861069439,9552592.03781131,8500946.715774821,7431112.25822989
85,12013130.84470868,11505524.429970888,10488286.70704035,9459630.999402994,8416873.561879855,7357755.123831026
80,11944481.52732482,11428960.381702919,10399695.392566968,9366853.110806756,8332649.902899061,7282133.958109091
75,11879953.173088133,11365955.554364022,10339788.22933617,9306803.318091352,8262536.940667029,7206731.1017193245
70,11819787.461934222,11307314.132231962,10284228.770559574,9254771.189181374,8214113.938130094,7162299.650925191
